Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
31.30000000	0.12297812	711.89406700	0.02411336	339.07790760	
31.40000000	0.12337102	713.82660500	0.02419040	339.99838295	
31.50000000	0.12376392	715.82816300	0.02426744	340.95173279	
31.60000000	0.12415682	717.90859900	0.02434447	341.94265254	
31.70000000	0.12454972	719.66365900	0.02442151	342.77859443	
31.80000000	0.12494262	721.37928000	0.02449855	343.59575137	
31.90000000	0.12533552	723.20335900	0.02457559	344.46456728	
32.00000000	0.12572843	724.87954000	0.02465263	345.26293879	
32.10000000	0.12612133	727.11773500	0.02472967	346.32899976	
32.20000000	0.12651423	729.03055300	0.02480671	347.24008240	
32.30000000	0.12690713	730.96309100	0.02488375	348.16055775	
32.40000000	0.12730003	732.96464900	0.02496079	349.11390760	
32.50000000	0.12769293	734.63097000	0.02503783	349.90758276	
32.60000000	0.12808583	736.59308700	0.02511487	350.84214670	
32.70000000	0.12847873	738.27912800	0.02519191	351.64521457	
32.80000000	0.12887164	740.27082600	0.02526895	352.59386806	
32.90000000	0.12926454	742.45972100	0.02534599	353.63644725	
33.00000000	0.12965744	744.37253900	0.02542303	354.54752989	
33.10000000	0.13005034	746.39381600	0.02550007	355.51027197	
33.20000000	0.13044324	748.27705500	0.02557711	356.40726602	
33.30000000	0.13083614	749.93351600	0.02565415	357.19624482	
33.40000000	0.13122904	751.60969700	0.02573119	357.99461634	
33.50000000	0.13162195	753.53237500	0.02580822	358.91039533	
33.60000000	0.13201485	755.33673400	0.02588526	359.76981853	
33.70000000	0.13240775	757.40731100	0.02596230	360.75604239	
33.80000000	0.13280065	759.43844800	0.02603934	361.72348083	
33.90000000	0.13319355	761.33154600	0.02611638	362.62517075	
34.00000000	0.13358645	762.98800700	0.02619342	363.41414956	
34.10000000	0.13397935	764.74306700	0.02627046	364.25009145	
34.20000000	0.13437225	766.67560500	0.02634750	365.17056680	
34.30000000	0.13476516	768.64758300	0.02642454	366.10982758	
34.40000000	0.13515806	770.76745900	0.02650158	367.11953275	
34.50000000	0.13555096	772.59153800	0.02657862	367.98834865	
34.60000000	0.13594386	774.62267500	0.02665566	368.95578709	
34.70000000	0.13633676	776.35801500	0.02673270	369.78233627	
34.80000000	0.13672966	778.14265500	0.02680974	370.63236723	
34.90000000	0.13712256	779.82869500	0.02688678	371.43543463	
35.00000000	0.13751547	781.47529700	0.02696382	372.21971755	
35.10000000	0.13790837	783.09231800	0.02704086	372.98991093	
35.20000000	0.13830127	784.83751800	0.02711790	373.82115647	
35.30000000	0.13869417	786.87851500	0.02719494	374.79329126	
35.40000000	0.13908707	788.91951200	0.02727197	375.76542605	
35.50000000	0.13947997	790.70415100	0.02734901	376.61545654	
35.60000000	0.13987287	792.64654900	0.02742605	377.54062824	
35.70000000	0.14026577	794.33259000	0.02750309	378.34369612	
35.80000000	0.14065868	795.77213400	0.02758013	379.02935651	
35.90000000	0.14105158	797.61593200	0.02765717	379.90756466	
36.00000000	0.14144448	799.32169300	0.02773421	380.72002524	
36.10000000	0.14183738	801.36269000	0.02781125	381.69216004	
36.20000000	0.14223028	803.47270500	0.02788829	382.69716837	
36.30000000	0.14262318	805.66160000	0.02796533	383.73974756	
36.40000000	0.14301608	807.49553900	0.02804237	384.61325982	
36.50000000	0.14340899	809.12242100	0.02811941	385.38815004	
36.60000000	0.14380189	810.67042300	0.02819645	386.12546940	
36.70000000	0.14419479	812.32688400	0.02827349	386.91444820	
36.80000000	0.14458769	814.18054300	0.02835053	387.79735318	
36.90000000	0.14498059	816.05392200	0.02842757	388.68965087	
37.00000000	0.14537349	817.86814100	0.02850461	389.55377042	
37.10000000	0.14576639	819.71194000	0.02858165	390.43197904	
37.20000000	0.14615929	821.25008200	0.02865869	391.16460205	
37.30000000	0.14655220	823.14318000	0.02873572	392.06629197	
37.40000000	0.14694510	825.14473700	0.02881276	393.01964134	
37.50000000	0.14733800	826.94909700	0.02888980	393.87906502	
37.60000000	0.14773090	828.96051400	0.02896684	394.83711074	
37.70000000	0.14812380	830.63669400	0.02904388	395.63548178	
37.80000000	0.14851670	832.15511700	0.02912092	396.35871255	
37.90000000	0.14890960	833.74255900	0.02919796	397.11481734	
38.00000000	0.14930251	835.66523700	0.02927500	398.03059633	
38.10000000	0.14969541	837.55833500	0.02935204	398.93228626	
38.20000000	0.15008831	839.71765000	0.02942908	399.96077638	
38.30000000	0.15048121	841.66004800	0.02950612	400.88594808	
38.40000000	0.15087411	843.36580800	0.02958316	401.69840819	
38.50000000	0.15126701	845.15044800	0.02966020	402.54843915	
38.60000000	0.15165991	846.98438700	0.02973724	403.42195142	
38.70000000	0.15205281	848.87748500	0.02981428	404.32364134	
38.80000000	0.15244572	850.72128400	0.02989132	405.20184996	
38.90000000	0.15283862	852.66368200	0.02996836	406.12702167	
39.00000000	0.15323152	854.37930200	0.03004540	406.94417814	
39.10000000	0.15362442	856.12450200	0.03012244	407.77542367	
39.20000000	0.15401732	857.93872100	0.03019947	408.63954322	
39.30000000	0.15441022	859.51630300	0.03027651	409.39095166	
39.40000000	0.15480312	861.20234300	0.03035355	410.19401905	
39.50000000	0.15519603	862.84894400	0.03043059	410.97830150	
39.60000000	0.15558893	864.58428400	0.03050763	411.80485068	
39.70000000	0.15598183	866.51682200	0.03058467	412.72532603	
39.80000000	0.15637473	868.20286300	0.03066171	413.52839390	
39.90000000	0.15676763	870.05652100	0.03073875	414.41129840	
40.00000000	0.15716053	871.78200200	0.03081579	415.23315170	
40.10000000	0.15755343	873.51734200	0.03089283	416.05970088	
40.20000000	0.15794633	875.32170100	0.03096987	416.91912408	
40.30000000	0.15833924	877.03732100	0.03104691	417.73628054	
40.40000000	0.15873214	878.71350200	0.03112395	418.53465206	
