Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
18.90000000	0.09536970	542.72794600	0.01869994	258.50342748	
19.00000000	0.09587431	544.69006400	0.01879888	259.43799190	
19.10000000	0.09637891	546.57330300	0.01889783	260.33498595	
19.20000000	0.09688351	549.00869600	0.01899677	261.49497309	
19.30000000	0.09738811	551.08913300	0.01909571	262.48589331	
19.40000000	0.09789271	553.11041000	0.01919465	263.44863539	
19.50000000	0.09839731	555.21056700	0.01929359	264.44894832	
19.60000000	0.09890192	556.88674800	0.01939253	265.24731984	
19.70000000	0.09940652	558.76012700	0.01949147	266.13961753	
19.80000000	0.09991112	560.60392700	0.01959042	267.01782663	
19.90000000	0.10041572	562.66464400	0.01968936	267.99935413	
20.00000000	0.10092032	564.72536100	0.01978830	268.98088164	
20.10000000	0.10142492	566.82551800	0.01988724	269.98119457	
20.20000000	0.10192953	568.77777600	0.01998618	270.91106263	
20.30000000	0.10243413	570.73989400	0.02008512	271.84562705	
20.40000000	0.10293873	572.83019100	0.02018406	272.84124363	
20.50000000	0.10344333	574.79230900	0.02028301	273.77580805	
20.60000000	0.10394793	577.06994300	0.02038195	274.86065397	
20.70000000	0.10445253	579.08136100	0.02048089	275.81870017	
20.80000000	0.10495714	581.38857500	0.02057983	276.91763515	
20.90000000	0.10546174	583.62677000	0.02067877	277.98369612	
21.00000000	0.10596634	585.51000900	0.02077771	278.88069016	
21.10000000	0.10647094	587.40310800	0.02087665	279.78238057	
21.20000000	0.10697554	589.32578600	0.02097560	280.69815956	
21.30000000	0.10748014	591.18930500	0.02107454	281.58576090	
21.40000000	0.10798474	593.42750000	0.02117348	282.65182186	
21.50000000	0.10848935	595.62625600	0.02127242	283.69909788	
21.60000000	0.10899395	597.56865400	0.02137136	284.62426959	
21.70000000	0.10949855	599.77726900	0.02147030	285.67624149	
21.80000000	0.11000315	601.69994800	0.02156925	286.59202096	
21.90000000	0.11050775	603.62262600	0.02166819	287.50779995	
22.00000000	0.11101235	605.97914000	0.02176713	288.63021672	
22.10000000	0.11151696	607.74406000	0.02186607	289.47085497	
22.20000000	0.11202156	609.94281600	0.02196501	290.51813098	
22.30000000	0.11252616	612.02325200	0.02206395	291.50905073	
22.40000000	0.11303076	613.60083500	0.02216289	292.26045963	
22.50000000	0.11353536	615.61225200	0.02226184	293.21850536	
22.60000000	0.11403996	617.55465000	0.02236078	294.14367707	
22.70000000	0.11454457	619.51676800	0.02245972	295.07824149	
